Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,AP7704b,0,0,2159
BJ_01,Untreated,Untreated rep 1,21403,AP7704b,1,0,2660
BJ_01,Untreated,Untreated rep 1,21403,AP7708a,0,0,2029
BJ_01,Untreated,Untreated rep 1,21403,AP7708a,1,0,1816
BJ_01,Untreated,Untreated rep 1,21403,AP7709a,0,0,833
BJ_01,Untreated,Untreated rep 1,21403,AP7709a,1,0,1049
BJ_01,Untreated,Untreated rep 1,21403,AP7804b,0,0,1141
BJ_01,Untreated,Untreated rep 1,21403,AP7804b,1,0,1498
BJ_01,Untreated,Untreated rep 1,21403,AP7808b,0,0,2387
BJ_01,Untreated,Untreated rep 1,21403,AP7808b,1,0,3628
BJ_01,Untreated,Untreated rep 1,21403,AP7901a,0,0,756
BJ_01,Untreated,Untreated rep 1,21403,AP7901a,1,0,746
BJ_01,Untreated,Untreated rep 1,21403,AP7902a,0,0,2855
BJ_01,Untreated,Untreated rep 1,21403,AP7902a,1,0,3233
BJ_01,Untreated,Untreated rep 1,21403,AP7905a,0,0,950
BJ_01,Untreated,Untreated rep 1,21403,AP7905a,1,0,1264
BJ_01,Untreated,Untreated rep 1,21403,AP7907a,0,0,2891
BJ_01,Untreated,Untreated rep 1,21403,AP7907a,1,0,1665
BJ_01,Untreated,Untreated rep 1,21403,AP7908a,0,0,2719
BJ_01,Untreated,Untreated rep 1,21403,AP7908a,1,0,3139
BJ_01,Untreated,Untreated rep 1,21403,AP7910a,0,0,803
BJ_01,Untreated,Untreated rep 1,21403,AP7910a,1,0,897
BJ_01,Untreated,Untreated rep 1,21403,AP8004a,0,0,645
BJ_01,Untreated,Untreated rep 1,21403,AP8004a,1,0,826
BJ_01,Untreated,Untreated rep 1,21403,AP8026a,0,0,1421
BJ_01,Untreated,Untreated rep 1,21403,AP8026a,1,0,1600
BJ_01,Untreated,Untreated rep 1,21403,AP8030b,0,0,1741
BJ_01,Untreated,Untreated rep 1,21403,AP8030b,1,0,1921
BJ_01,Untreated,Untreated rep 1,21403,AP8052a,0,0,2096
BJ_01,Untreated,Untreated rep 1,21403,AP8052a,1,0,2373
BJ_01,Untreated,Untreated rep 1,21403,AP8052b,0,0,3253
BJ_01,Untreated,Untreated rep 1,21403,AP8052b,1,0,2786
BJ_01,Untreated,Untreated rep 1,21403,AP8053b,0,0,1129
BJ_01,Untreated,Untreated rep 1,21403,AP8053b,1,0,1026
BJ_01,Untreated,Untreated rep 1,21403,AP8053c,0,0,1763
BJ_01,Untreated,Untreated rep 1,21403,AP8053c,1,0,1718
BJ_01,Untreated,Untreated rep 1,21403,AP8058b,0,0,1590
BJ_01,Untreated,Untreated rep 1,21403,AP8058b,1,1,1575
BJ_01,Untreated,Untreated rep 1,21403,AP8060b,0,0,661
BJ_01,Untreated,Untreated rep 1,21403,AP8060b,1,0,778
BJ_01,Untreated,Untreated rep 1,21403,AP8062a,0,0,4060
BJ_01,Untreated,Untreated rep 1,21403,AP8062a,1,0,2702
BJ_01,Untreated,Untreated rep 1,21403,AP8064c,0,0,691
BJ_01,Untreated,Untreated rep 1,21403,AP8064c,1,0,692
BJ_01,Untreated,Untreated rep 1,21403,AP8076b,0,0,1009
BJ_01,Untreated,Untreated rep 1,21403,AP8076b,1,0,979
BJ_01,Untreated,Untreated rep 1,21403,AP8096a,0,0,1998
BJ_01,Untreated,Untreated rep 1,21403,AP8096a,1,0,2438
BJ_01,Untreated,Untreated rep 1,21403,AP8101b,0,0,442
BJ_01,Untreated,Untreated rep 1,21403,AP8101b,1,0,564
BJ_01,Untreated,Untreated rep 1,21403,AP8103a,0,0,782
BJ_01,Untreated,Untreated rep 1,21403,AP8103a,1,0,471
BJ_01,Untreated,Untreated rep 1,21403,AP8126a,0,0,554
BJ_01,Untreated,Untreated rep 1,21403,AP8126a,1,0,828
BJ_01,Untreated,Untreated rep 1,21403,AP8126b,0,0,2775
BJ_01,Untreated,Untreated rep 1,21403,AP8126b,1,0,3437
BJ_01,Untreated,Untreated rep 1,21403,B50263-51,0,0,1276
BJ_01,Untreated,Untreated rep 1,21403,B50263-51,1,0,1555
BJ_01,Untreated,Untreated rep 1,21403,B50270-51,0,0,1536
BJ_01,Untreated,Untreated rep 1,21403,B50270-51,1,0,945
BJ_01,Untreated,Untreated rep 1,21403,B50279-51,0,0,3519
BJ_01,Untreated,Untreated rep 1,21403,B50279-51,1,0,3693
BJ_01,Untreated,Untreated rep 1,21403,B63620,0,0,8229
BJ_01,Untreated,Untreated rep 1,21403,B63620,1,0,8506
BJ_01,Untreated,Untreated rep 1,21403,C150M,0,0,292
BJ_01,Untreated,Untreated rep 1,21403,C150M,1,1,248
BJ_01,Untreated,Untreated rep 1,21403,DB002,0,0,1116
BJ_01,Untreated,Untreated rep 1,21403,DB002,1,0,927
BJ_01,Untreated,Untreated rep 1,21403,DB025,0,0,2514
BJ_01,Untreated,Untreated rep 1,21403,DB025,1,0,2085
BJ_01,Untreated,Untreated rep 1,21403,DB030,0,0,602
BJ_01,Untreated,Untreated rep 1,21403,DB030,1,0,547
BJ_01,Untreated,Untreated rep 1,21403,DB032,0,0,401
BJ_01,Untreated,Untreated rep 1,21403,DB032,1,0,510
BJ_01,Untreated,Untreated rep 1,21403,DB033,0,0,1783
BJ_01,Untreated,Untreated rep 1,21403,DB033,1,0,1343
BJ_01,Untreated,Untreated rep 1,21403,DB037,0,0,686
BJ_01,Untreated,Untreated rep 1,21403,DB037,1,0,768
BJ_01,Untreated,Untreated rep 1,21403,DB038,0,0,1620
BJ_01,Untreated,Untreated rep 1,21403,DB038,1,0,1782
BJ_01,Untreated,Untreated rep 1,21403,DB040,0,0,1077
BJ_01,Untreated,Untreated rep 1,21403,DB040,1,0,1077
BJ_01,Untreated,Untreated rep 1,21403,DB047,0,0,2548
BJ_01,Untreated,Untreated rep 1,21403,DB047,1,0,3525
BJ_01,Untreated,Untreated rep 1,21403,DB049,0,0,1736
BJ_01,Untreated,Untreated rep 1,21403,DB049,1,0,1433
BJ_01,Untreated,Untreated rep 1,21403,DB075,0,0,1065
BJ_01,Untreated,Untreated rep 1,21403,DB075,1,0,984
BJ_01,Untreated,Untreated rep 1,21403,DB076,0,0,1256
BJ_01,Untreated,Untreated rep 1,21403,DB076,1,0,1404
BJ_01,Untreated,Untreated rep 1,21403,DB077,0,0,1571
BJ_01,Untreated,Untreated rep 1,21403,DB077,1,0,1849
BJ_01,Untreated,Untreated rep 1,21403,F37720,0,0,6381
BJ_01,Untreated,Untreated rep 1,21403,F37720,1,0,5887
BJ_01,Untreated,Untreated rep 1,21403,H00004254-MOI,0,0,451
BJ_01,Untreated,Untreated rep 1,21403,H00004254-MOI,1,0,684
